,Name,Leader 1,Leader 2,Leader 3,Leader 4,Revenue,Headquarters,Location,Other names,Subsidiaries,Purpose
243,Royal Society for the Prevention of Cruelty to Animals,"Chris Sherwood  (CEO, August 2018 – present)",,,,,,"Southwater, West Sussex, England",,,Animals
244,Royal Society for the Protection of Birds,"
Kevin Cox (Chairman)
Miranda Krestovnikoff (President)
Dr Mike Clarke(Chief Executive)[1]
",,,, £3.68 million GBP (2006)[1],"The Lodge, Sandy, Bedfordshire, England2 Lochside View, Edinburgh, Scotland",,,,
245,Saint Camillus Foundation,,,,,,,,,,
246,The Salvation Army,,,,,,,,,,
247,Samaritan's Purse,,,,,,,"Boone, North Carolina, USA",,,Crisis relief & development
248,Samsara Foundation,Carl Samuels,,,,,"Chiang Mai, Thailand",,,,
249,Santa Casa da Misericórdia,,,,,,,,,,
250,Save the Children,,,,,,,"International HQ: London, WC2United Kingdom",,,
251,Save the Manatee Club,"Jimmy Buffett (Co-Chair)
Helen Spivey (Co-Chair)
Dr. Daryl Domning (Secretary)
Dr. Joseph Siry (Treasurer)
Matt Clemons
Dan Hendrickson

Dr. Roger L. Reep",,,,,,"Maitland, Florida, USA",,,The recovery of the manatee species as defined by the federal Endangered Species Act of 1973.
252,Scaife Family Foundation,,,,,,,,,,
253,SCARE for a CURE,,,,,,,,,,
254,Schowalter Foundation,,,,,"$1,165,674[1]","Newton, KS, United States",,,,
255,Silicon Valley Community Foundation,"Greg Avis (Interim President/CEO)  Samuel Johnson, Jr. (Chair of the Board of Directors) [2]",,,,$1.4 billion [3],"Mountain View, California",Silicon Valley  United States  International,,,
256,Simone and Cino Del Duca Foundation,,,,,,,,,,
257,Sir Dorabji Tata and Allied Trusts,,,,,,,,,,
258,SKIP of New York,,,,,,,,,,
259,SmileTrain,Susannah Schaefer,,,,,"New York City, New York, United States",,,,
260,Societat de Beneficència de Naturals de Catalunya,,,,,,,"Consulado 68La Havana Vieja,  Cuba",,,
261,Society of Saint Vincent de Paul,"Fr. Bertin Sanon, R.S.V.",,,,,,,,,Sanctification of members through service of the poor[4]
262,Somaly Mam Foundation,,,,,,,,,,
263,SOS Children's Villages,Siddharta Kaul,,,,,"Imst, Austria",,SOS,,Humanitarian Services
264,SOS Children's Villages – UK,,,,,,,"Cambridge, United Kingdom",,,Alternative care for children who cannot live with their parents
265,SOS Children's Villages – USA,,,,,,,,,,
266,Sparebankstiftelsen DnB,André Støylen (CEO),,,,,"Oslo, Norway",,,,Holding company
267,St. Baldrick's Foundation,"Kathleen Ruddy, Executive Director",,,,,,"Monrovia, California",,,
268,St. Jude Children's Research Hospital,,,,,,,"262 Danny Thomas Place, Memphis, Tennessee, United States",,,
269,Starlight Children's Foundation,,,,,,"Los Angeles, California",,,,Children's charity
270,Stichting INGKA Foundation,,,,,,Liechtenstein,,,INGKA Holding,Retail
271,Students Helping Honduras,Shin Fujiyama,,,,,"Fredericksburg, VA and El Progreso, Honduras",,SHH,,Humanitarianism
272,Surdna Foundation,Don Chen,,,,"$86,286,051[1]","New York, NY, United States",,,,
273,Survivor Corps,,,,,,,,,,
274,Susan G. Komen for the Cure,,,,,"$118,392,709[2]","5005 LBJ Freeway, Suite 250Dallas, Texas 75244 United States",,,,
275,SystemX,,,,,,,,,,
276,Taproot Foundation,,,,,,"San Francisco, U.S.",,,,
277,Thrive Africa,Maxwell Donkor (Country Director),,,,,,"Ghana, West Africa",,,"charitable services, sustainable development projects"
278,Tom Joyner Foundation,,,,,,,United States,,,
279,Toys for Tots,United States Marine Corps Reserve,,,,,,"Triangle, Virginia, U.S.",,,
280,Traffic,"
John A Burton, first Director
Steven Broad, current Executive Director
",,,,,"Cambridge, UK",,,,"Wildlife Trade, conservation"
281,Tulsa Community Foundation,Phil LakinCEO,,,,,,"Tulsa, Oklahoma",,,
282,UNICEF,Tore Hattrem,,,,,"New York City, New York, United States",,United Nations,,
283,United Methodist Committee on Relief,Bishop Thomas Bickerton,,,,,"458 Ponce De Leon Ave NE, Atlanta, GA 30308","Atlanta, Georgia",Methodist Committee for Overseas Relief,,
284,United Nations Foundation,,,,,"$101,198,453[1]","Washington, D.C., United States",,,,
285,United States Artists,"Deana Haggag, CEO[1]",,,,,,"Chicago, USA",,,American artists
286,United Way Worldwide,,,,,,,,,,
287,Universal Health Care Foundation of Connecticut,Marian A. Evans,,,,"$2,467,029[1]","Meriden, CT, United States",,,,
288,Vancouver Foundation,"Board Chair, Jason McLean; President & CEO, Kevin McCort",,,,,,"Vancouver, BC, Canada",,,Community foundation
289,Varkey Foundation,"Sunny Varkey, Chairman Vikas Pota, CEO 
",,,,,London[1],,Varkey GEMS Foundation,,"Education, teacher training"
290,Veniños,,,,,,,,,,
291,Vietnam Children's Fund,Terry A. Anderson,,,,,"Unionville, Virginia, United States",,VCF,,
292,Vietnam Veterans Memorial Fund,,,,,,,,,,
293,Vietnam Veterans of America Foundation,,,,,,,,,,
294,Virtu Foundation,"Curtis Peterson, President",,,,"$148,837[1]",,"Charlottesville, Virginia",,,Classical musicMusic educationString instruments
295,Voluntary Service Overseas,,,,,,,Worldwide,,,
296,Volunteers of America,,,,,,,"Headquarters in Alexandria, Virginia",,,
297,The W. Garfield Weston Foundation,,,,,,"Toronto, Canada",Canada,,,"Education, Land Conservation, Science in Canada’s North, Neuroscience and Microbiome Science [1]"
298,W. K. Kellogg Foundation,,,,,,,"Battle Creek, Michigan",W. K. Kellogg Child Welfare Foundation,,A number of topics
299,The Walter and Duncan Gordon Foundation,,,,,,,,,,
300,Waste No Food,,,,,,,,,,
301,Water Agriculture and Health in Tropical Area,,,,,,,,,,
302,Wellcome Trust,Baroness Eliza Manningham-Buller[1](Chair)Dr Jeremy Farrar[2](Director),,,,,"London, NW1United Kingdom","Euston Road,London, NW1",,,Biomedical Research
303,The Weston Foundation,,,,,,,,,,
304,Wetlands International,,,,,,,,,,
305,Wikimedia Foundation,María Sefidari (Chair of the board)[3]Katherine Maher (Executive director),,,,,,"San Francisco, California, U.S.Los Angeles, California, U.S. (registered agent)[2]",WMF,,"Free, open-content, wiki-based Internet projects"
306,WildAid,Peter Knights,,,,,"333 Pine Street, San Francisco, California, United States",,,,
307,Wildlife Conservation Society,,,,,,,,,,
308,William and Flora Hewlett Foundation,"Larry Kramer, president",,,,"US$526,699,324[1]",,"Menlo Park, California",,,
309,The Winnipeg Foundation,,,,,,,,,,
310,Woodrow Wilson National Fellowship Foundation,,,,,,,,,,
311,World Association of Girl Guides and Girl Scouts,Ana Maria Mideros,,,,,"Pax Lodge, London",150 countries,,,
312,World Literacy Foundation,"Dr Anthony Cree OAM, Chairman",,,,,," Australia, Melbourne Colombia, Manizales United Kingdom, Oxford United States, Grandville",WLF,,"Literacy, EducationChildren's rights"
313,World Medical Relief,,,,,,,,,,
314,World Scout Foundation,,,,,,,,,,
315,World Transformation Movement,,,,,,,,,,
316,World Vision International,Kevin Jenkins (International President)Ms. Donna Shepherd  (Chairperson Int'l Board),,,,,,"Monrovia, California, U.S., 800 West Chestnut Avenue (administrative center, World Vision International Board),  London, U.K. (Executive Office and International Headquarter)",,,"Well being of all people, especially children."
317,World Wide Fund for Nature,Pavan Sukhdev,,,,,"Rue Mauverny,Gland, Vaud, Switzerland",Worldwide,WWF,,"
Environmentalism
Conservation
Ecology
"
318,Wounded Warrior Project,Michael S. Linnington,,,,,"Jacksonville, Florida",,,,Veterans services
319,Wyoming Wildlife Federation,,,,,,,,,,
320,Young Lives,,,,,,,,,,
321,Youth With A Mission,,,,,,,,,,
322,YouthBuild,John Valverde,,,,,"Somerville, MA",,,,
